timestamps,TP9,AF7,AF8,TP10
1621565073.010,-31.738,-38.574,-27.832,-33.691
1621565073.014,0.000,-36.621,-31.250,0.000
1621565073.018,-16.602,-38.086,-31.250,-19.043
1621565073.022,-56.641,-41.504,-31.250,-54.199
1621565073.026,-41.504,-41.504,-28.320,-46.875
1621565073.030,-6.348,-34.668,-28.320,-13.672
1621565073.034,6.836,-39.551,-30.273,-8.789
1621565073.038,-32.715,-42.969,-30.762,-48.340
1621565073.042,-50.293,-41.504,-33.203,-47.363
1621565073.046,-23.438,-44.434,-37.109,-15.625
1621565073.050,-0.977,-41.504,-34.668,-2.930
1621565073.054,-28.809,-42.480,-33.203,-30.273
1621565073.058,-53.711,-41.016,-33.203,-50.293
1621565073.062,-35.645,-34.668,-34.180,-32.715
1621565073.066,11.230,-33.691,-33.691,-4.883
1621565073.069,-8.789,-38.086,-30.762,-31.250
1621565073.073,-44.922,-37.598,-32.227,-53.711
1621565073.077,-26.367,-34.668,-30.762,-37.109
1621565073.081,4.395,-37.598,-30.273,-12.695
1621565073.085,-4.395,-36.621,-36.621,-15.625
1621565073.089,-39.551,-36.621,-38.086,-50.293
1621565073.093,-39.551,-42.480,-35.645,-53.223
1621565073.097,-3.906,-42.480,-34.668,-20.020
1621565073.101,9.277,-40.039,-33.691,-15.137
1621565073.105,-34.180,-42.480,-36.621,-46.387
1621565073.109,-43.457,-41.992,-39.062,-51.270
1621565073.113,-6.348,-36.621,-30.762,-15.625
1621565073.117,5.371,-32.715,-27.344,2.930
1621565073.121,-22.461,-35.156,-30.273,-27.344
1621565073.125,-40.527,-34.668,-29.785,-46.875
1621565073.129,-26.367,-35.156,-27.344,-26.367
1621565073.133,6.836,-33.203,-22.461,16.113
1621565073.137,-8.789,-30.762,-22.461,-3.906
1621565073.140,-40.039,-36.133,-26.367,-35.156
1621565073.144,-36.621,-36.133,-27.832,-24.414
1621565073.148,-9.277,-33.691,-26.855,-1.953
1621565073.152,-6.348,-33.691,-26.367,-10.742
1621565073.156,-44.922,-33.203,-29.297,-45.410
1621565073.160,-59.570,-31.738,-28.809,-41.992
1621565073.164,-29.297,-36.133,-27.344,-11.719
1621565073.168,-7.812,-37.109,-25.879,-2.441
1621565073.172,-39.551,-37.598,-28.320,-39.062
1621565073.176,-60.059,-35.156,-28.809,-41.016
1621565073.180,-32.715,-30.273,-27.832,-20.508
1621565073.184,-6.836,-26.855,-25.391,-5.859
1621565073.188,-32.715,-30.273,-26.367,-24.414
1621565073.192,-52.734,-33.691,-29.785,-43.945
1621565073.196,-31.250,-28.320,-28.809,-23.926
1621565073.200,0.000,-25.391,-29.297,-6.348
1621565073.204,-13.184,-26.855,-27.344,-22.461
1621565073.208,-46.387,-31.250,-25.879,-46.875
1621565073.211,-42.480,-29.785,-25.391,-29.785
1621565073.215,-8.301,-27.344,-21.973,6.836
1621565073.219,-6.836,-28.320,-19.531,-3.906
1621565073.223,-35.156,-26.367,-20.996,-32.715
1621565073.227,-38.574,-23.438,-22.949,-29.785
1621565073.231,-13.184,-23.438,-21.973,-3.906
1621565073.235,5.371,-26.367,-19.043,5.371
1621565073.239,-32.715,-26.855,-24.414,-23.438
1621565073.243,-56.152,-27.344,-28.320,-29.297
1621565073.247,-31.250,-28.809,-30.762,-13.184
1621565073.251,-4.883,-29.785,-28.809,4.883
1621565073.255,-27.344,-30.273,-25.879,-15.625
1621565073.259,-49.805,-31.738,-27.832,-38.574
1621565073.263,-43.945,-32.715,-24.902,-28.320
1621565073.267,-14.648,-33.691,-25.879,2.441
1621565073.271,-20.020,-29.297,-25.879,-9.277
1621565073.275,-54.199,-27.832,-22.461,-48.340
1621565073.279,-52.246,-28.320,-19.531,-39.551
1621565073.282,-21.484,-22.949,-14.648,4.883
1621565073.286,-13.672,-26.367,-14.648,1.953
1621565073.290,-44.434,-25.879,-15.137,-40.527
1621565073.294,-49.316,-23.438,-17.578,-35.156
1621565073.298,-29.297,-24.902,-17.578,-13.672
1621565073.302,-22.461,-22.949,-19.043,-16.602
1621565073.306,-41.992,-27.832,-19.531,-34.668
1621565073.310,-52.734,-25.879,-16.602,-39.062
1621565073.314,-33.203,-23.926,-20.508,-25.391
1621565073.318,-7.812,-29.785,-22.949,-5.859
1621565073.322,-23.926,-27.832,-23.438,-24.414
1621565073.326,-50.293,-25.391,-24.414,-41.504
1621565073.330,-45.898,-25.879,-23.926,-31.738
1621565073.334,-14.160,-23.926,-21.484,-1.953
1621565073.338,-22.949,-22.461,-22.949,-9.277
1621565073.342,-57.129,-22.949,-23.926,-36.621
1621565073.346,-55.664,-25.391,-21.973,-31.250
1621565073.350,-21.484,-25.391,-20.508,-6.836
1621565073.353,-7.812,-22.461,-20.508,-4.395
1621565073.357,-49.316,-22.949,-19.043,-40.039
1621565073.361,-64.453,-27.832,-20.508,-45.898
1621565073.365,-37.109,-27.832,-25.391,-27.344
1621565073.369,-6.836,-20.020,-22.461,-12.695
1621565073.373,-37.598,-16.602,-23.438,-36.133
1621565073.377,-57.129,-20.508,-25.391,-45.410
1621565073.381,-39.062,-25.391,-24.414,-27.832
1621565073.385,-31.250,-25.879,-21.484,-9.766
1621565073.389,-43.945,-28.809,-19.043,-32.227
1621565073.393,-65.430,-26.855,-18.066,-55.664
1621565073.397,-68.848,-29.297,-20.508,-47.852
